('Market Cap', '3.515T')
         629954 function calls (605540 primitive calls) in 3.647 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      988    0.001    0.000    0.020    0.000 css_match.py:1414(match)
       18    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
1883/1846    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
     4983    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
      319    0.001    0.000    0.004    0.000 css_parser.py:999(selector_iter)
       65    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     2423    0.001    0.000    0.001    0.000 css_match.py:94(is_tag)
    169/1    0.001    0.000    3.647    3.647 {built-in method builtins.exec}
      184    0.001    0.000    0.011    0.000 _compiler.py:514(_compile_info)
     4616    0.001    0.000    0.001    0.000 {built-in method builtins.max}
    220/3    0.001    0.000    0.323    0.108 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     1125    0.001    0.000    0.002    0.000 _parser.py:311(_class_escape)
      961    0.001    0.000    0.012    0.000 __init__.py:1056(handle_endtag)
      292    0.001    0.000    0.003    0.000 typing.py:173(_type_check)
       21    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      231    0.001    0.000    0.001    0.000 _collections.py:257(__getitem__)
     1373    0.001    0.000    0.001    0.000 _parser.py:171(__setitem__)
     5767    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      184    0.001    0.000    0.152    0.001 _compiler.py:743(compile)
     4214    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
       58    0.001    0.000    0.001    0.000 {method 'write' of '_io.BytesIO' objects}
     1520    0.001    0.000    0.002    0.000 parser.py:104(_unescape_attrvalue)
      989    0.001    0.000    0.002    0.000 css_match.py:198(get_descendants)
    48/17    0.001    0.000    0.015    0.001 css_parser.py:847(parse_selectors)
     1229    0.001    0.000    0.002    0.000 <frozen _collections_abc>:808(get)
      199    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1523(_get_spec)
      969    0.001    0.000    0.001    0.000 _parser.py:448(_uniq)
      988    0.001    0.000    0.005    0.000 css_match.py:681(match_tagname)
      381    0.001    0.000    0.004    0.000 element.py:1478(__new__)
      258    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      167    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      819    0.001    0.000    0.001    0.000 typing.py:1368(__setattr__)
    194/3    0.001    0.000    0.322    0.107 <frozen importlib._bootstrap>:911(_load_unlocked)
     2606    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      718    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
      194    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      988    0.001    0.000    0.002    0.000 css_match.py:640(match_namespace)
      988    0.001    0.000    0.003    0.000 css_match.py:493(get_tag)
      258    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      776    0.001    0.000    0.001    0.000 _parser.py:371(_escape)
       10    0.001    0.000    0.004    0.000 enum.py:898(_convert_)
     3824    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      258    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:124(setdefault)
      213    0.001    0.000    1.804    0.008 response.py:1227(stream)
      988    0.001    0.000    0.007    0.000 css_match.py:315(get_classes)
      988    0.001    0.000    0.008    0.000 css_match.py:690(match_tag)
      381    0.001    0.000    0.001    0.000 __init__.py:870(object_was_parsed)
      961    0.001    0.000    0.013    0.000 _htmlparser.py:204(handle_endtag)
     2458    0.001    0.000    0.001    0.000 {method 'index' of 'list' objects}
      184    0.001    0.000    0.092    0.001 _parser.py:970(parse)
     1028    0.001    0.000    0.001    0.000 {built-in method fromkeys}
       30    0.001    0.000    1.780    0.059 response.py:1009(_raw_read)
    445/6    0.001    0.000    0.314    0.052 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     2262    0.001    0.000    0.002    0.000 css_parser.py:305(match)
      988    0.001    0.000    0.008    0.000 css_match.py:778(match_classes)
       51    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      124    0.001    0.000    0.003    0.000 typing.py:1423(__init__)
     1014    0.001    0.000    0.002    0.000 _compiler.py:401(_simple)
       77    0.001    0.000    0.005    0.000 css_parser.py:450(parse_attribute_selector)
      175    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:834(spec_from_file_location)
       22    0.001    0.000    0.744    0.034 __init__.py:1(<module>)
      167    0.001    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1215(get_data)
      182    0.001    0.000    0.001    0.000 enum.py:1607(__and__)
      258    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
      381    0.001    0.000    0.001    0.000 __init__.py:735(string_container)
      961    0.000    0.000    0.001    0.000 element.py:2007(is_empty_element)
       65    0.000    0.000    0.023    0.000 css_match.py:1383(select)
        1    0.000    0.000    3.647    3.647 financial.py:1(<module>)
        6    0.000    0.000    0.002    0.000 typing.py:2998(__new__)
     1157    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
     1449    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      953    0.000    0.000    0.001    0.000 typing.py:1294(_is_dunder)
    167/3    0.000    0.000    0.322    0.107 <frozen importlib._bootstrap_external>:1021(exec_module)
      334    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
        6    0.000    0.000    0.000    0.000 utils.py:361(cut_sequence_chunks)
     1900    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
     2774    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      241    0.000    0.000    0.016    0.000 response.py:619(_decode)
     1721    0.000    0.000    0.001    0.000 {built-in method builtins.hasattr}
      729    0.000    0.000    0.001    0.000 enum.py:1589(_get_value)
      962    0.000    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
     1007    0.000    0.000    0.001    0.000 css_match.py:87(is_doc)
      501    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      988    0.000    0.000    0.001    0.000 css_match.py:476(get_tag_ns)
     1401    0.000    0.000    0.000    0.000 element.py:3090(descendants)
       30    0.000    0.000    1.778    0.059 client.py:463(read)
      140    0.000    0.000    0.001    0.000 css_parser.py:357(__init__)
  194/190    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      897    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
     1047    0.000    0.000    0.000    0.000 {built-in method unicodedata.name}
  209/170    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
     1841    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      167    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:698(_classify_pyc)
      241    0.000    0.000    0.001    0.000 response.py:395(put)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      184    0.000    0.000    0.058    0.000 _compiler.py:576(_code)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      363    0.000    0.000    0.000    0.000 enum.py:829(__setattr__)
      745    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      184    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      258    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
       58    0.000    0.000    0.003    0.000 typing.py:753(Union)
  140/135    0.000    0.000    0.003    0.000 css_parser.py:383(freeze)
       41    0.000    0.000    2.092    0.051 ssl.py:1289(recv_into)
       41    0.000    0.000    0.001    0.000 cd.py:120(get_target_features)
      212    0.000    0.000    0.002    0.000 response.py:600(_init_decoder)
     1146    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
  760/694    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      411    0.000    0.000    0.000    0.000 _parser.py:264(getwhile)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      653    0.000    0.000    0.000    0.000 utils.py:27(is_accentuated)
      962    0.000    0.000    0.000    0.000 __init__.py:290(can_be_empty_element)
      988    0.000    0.000    0.000    0.000 css_types.py:312(__iter__)
      131    0.000    0.000    0.001    0.000 typing.py:260(_collect_type_parameters)
      175    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1620(_get_spec)
     1361    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       41    0.000    0.000    2.092    0.051 socket.py:706(readinto)
      385    0.000    0.000    0.004    0.000 {built-in method builtins.next}
      988    0.000    0.000    0.000    0.000 css_types.py:116(__getitem__)
      260    0.000    0.000    0.001    0.000 enum.py:695(__call__)
        6    0.000    0.000    0.000    0.000 structures.py:40(__init__)
       18    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
        1    0.000    0.000    0.000    0.000 retry.py:41(Retry)
     2423    0.000    0.000    0.000    0.000 typing.py:2371(cast)
       23    0.000    0.000    0.001    0.000 enum.py:498(__new__)
      503    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1501(_path_importer_cache)
      175    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:643(_get_cached)
        1    0.000    0.000    0.003    0.003 packages.py:1(<module>)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
     1644    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      389    0.000    0.000    0.000    0.000 _htmlparser.py:222(handle_data)
      140    0.000    0.000    0.002    0.000 css_types.py:179(__init__)
      167    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:731(_validate_timestamp_pyc)
      929    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
     2562    0.000    0.000    0.000    0.000 {method 'isalpha' of 'str' objects}
      220    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:416(__enter__)
     2452    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.020    0.020 dammit.py:71(_chardet_dammit)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       13    0.000    0.000    0.000    0.000 enum.py:1459(_missing_)
       78    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        5    0.000    0.000    0.012    0.002 cd.py:346(coherence_ratio)
      181    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
       52    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      738    0.000    0.000    0.000    0.000 _parser.py:82(groups)
       28    0.000    0.000    0.001    0.000 enum.py:251(__set_name__)
      343    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
     1806    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       65    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
     1007    0.000    0.000    0.000    0.000 element.py:473(_is_xml)
      307    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
      260    0.000    0.000    0.001    0.000 enum.py:1156(__new__)
      128    0.000    0.000    0.001    0.000 typing.py:1307(__init__)
      668    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      913    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      284    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      961    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
       64    0.000    0.000    0.000    0.000 enum.py:354(__setitem__)
      134    0.000    0.000    0.000    0.000 typing.py:1358(__getattr__)
      196    0.000    0.000    0.001    0.000 css_types.py:303(__init__)
      425    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      884    0.000    0.000    0.000    0.000 parser.py:182(clear_cdata_mode)
       85    0.000    0.000    0.001    0.000 css_parser.py:759(parse_combinator)
      213    0.000    0.000    1.804    0.008 models.py:816(generate)
      617    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
  168/165    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:675(_check_name_wrapper)
      988    0.000    0.000    0.000    0.000 css_match.py:828(match_nth)
     1093    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      213    0.000    0.000    0.000    0.000 response.py:9(is_fp_closed)
      298    0.000    0.000    0.000    0.000 css_parser.py:236(css_unescape)
      383    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
      442    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
     1093    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      307    0.000    0.000    0.001    0.000 typing.py:164(_type_convert)
       41    0.000    0.000    2.091    0.051 ssl.py:1129(read)
      523    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      617    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      263    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
       19    0.000    0.000    0.000    0.000 css_match.py:436(__init__)
      199    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1552(find_spec)
