('Market Cap', '3.515T')
         625347 function calls (600917 primitive calls) in 7.672 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      961    0.001    0.000    0.001    0.000 __init__.py:789(popTag)
     2423    0.001    0.000    0.001    0.000 css_match.py:94(is_tag)
      258    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      319    0.001    0.000    0.004    0.000 css_parser.py:999(selector_iter)
       18    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
      184    0.001    0.000    0.008    0.000 _compiler.py:514(_compile_info)
      718    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
1675/1651    0.001    0.000    0.007    0.000 typing.py:426(inner)
    169/1    0.001    0.000    7.672    7.672 {built-in method builtins.exec}
     1125    0.001    0.000    0.002    0.000 _parser.py:311(_class_escape)
    48/17    0.001    0.000    0.014    0.001 css_parser.py:847(parse_selectors)
      184    0.001    0.000    0.135    0.001 _compiler.py:743(compile)
     4983    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
    220/3    0.001    0.000    0.308    0.103 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     5768    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
1883/1846    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      969    0.001    0.000    0.002    0.000 _parser.py:448(_uniq)
     1373    0.001    0.000    0.001    0.000 _parser.py:171(__setitem__)
     4609    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      988    0.001    0.000    0.002    0.000 css_match.py:640(match_namespace)
      292    0.001    0.000    0.003    0.000 typing.py:173(_type_check)
      258    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:124(setdefault)
      961    0.001    0.000    0.011    0.000 __init__.py:1056(handle_endtag)
     3830    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      776    0.001    0.000    0.001    0.000 _parser.py:371(_escape)
      989    0.001    0.000    0.002    0.000 css_match.py:198(get_descendants)
      199    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1523(_get_spec)
      194    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      961    0.001    0.000    0.002    0.000 parser.py:455(check_for_whole_start_tag)
    445/6    0.001    0.000    0.307    0.051 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      988    0.001    0.000    0.005    0.000 css_match.py:681(match_tagname)
     1028    0.001    0.000    0.001    0.000 {built-in method fromkeys}
    194/3    0.001    0.000    0.308    0.103 <frozen importlib._bootstrap>:911(_load_unlocked)
     2547    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      988    0.001    0.000    0.003    0.000 css_match.py:493(get_tag)
       49    0.001    0.000    1.433    0.029 ssl.py:1289(recv_into)
       10    0.001    0.000    0.004    0.000 enum.py:898(_convert_)
     3824    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     2458    0.001    0.000    0.001    0.000 {method 'index' of 'list' objects}
     4214    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      381    0.001    0.000    0.004    0.000 element.py:1478(__new__)
      988    0.001    0.000    0.008    0.000 css_match.py:690(match_tag)
      819    0.001    0.000    0.001    0.000 typing.py:1368(__setattr__)
        6    0.001    0.000    0.003    0.000 typing.py:2998(__new__)
      184    0.001    0.000    0.084    0.000 _parser.py:970(parse)
      167    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
     1520    0.001    0.000    0.001    0.000 parser.py:104(_unescape_attrvalue)
      988    0.001    0.000    0.007    0.000 css_match.py:315(get_classes)
     2262    0.001    0.000    0.002    0.000 css_parser.py:305(match)
      961    0.001    0.000    0.011    0.000 _htmlparser.py:204(handle_endtag)
     1018    0.001    0.000    0.001    0.000 <frozen _collections_abc>:808(get)
      381    0.001    0.000    0.001    0.000 __init__.py:870(object_was_parsed)
      233    0.001    0.000    0.023    0.000 response.py:619(_decode)
      988    0.001    0.000    0.007    0.000 css_match.py:778(match_classes)
      182    0.001    0.000    0.001    0.000 enum.py:1607(__and__)
      175    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:834(spec_from_file_location)
     1014    0.001    0.000    0.002    0.000 _compiler.py:401(_simple)
      124    0.001    0.000    0.003    0.000 typing.py:1423(__init__)
       77    0.001    0.000    0.004    0.000 css_parser.py:450(parse_attribute_selector)
        1    0.001    0.001    0.311    0.311 ssl.py:449(wrap_socket)
       22    0.001    0.000    0.732    0.033 __init__.py:1(<module>)
       18    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
