('Market Cap', '3.515T')
         620852 function calls (597109 primitive calls) in 1.927 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      988    0.000    0.000    0.000    0.000 css_types.py:116(__getitem__)
      988    0.001    0.000    0.019    0.000 css_match.py:1414(match)
      988    0.001    0.000    0.006    0.000 css_match.py:291(get_attribute_by_name)
      962    0.002    0.000    0.002    0.000 __init__.py:812(pushTag)
      962    0.000    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
      962    0.003    0.000    0.011    0.000 element.py:1813(__init__)
      962    0.000    0.000    0.000    0.000 __init__.py:290(can_be_empty_element)
      961    0.001    0.000    0.001    0.000 __init__.py:789(popTag)
      961    0.002    0.000    0.004    0.000 __init__.py:953(_popToTag)
      961    0.004    0.000    0.018    0.000 __init__.py:990(handle_starttag)
      961    0.005    0.000    0.006    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
      961    0.008    0.000    0.041    0.000 parser.py:407(parse_starttag)
      961    0.002    0.000    0.021    0.000 _htmlparser.py:142(handle_starttag)
      961    0.001    0.000    0.013    0.000 _htmlparser.py:204(handle_endtag)
      961    0.001    0.000    0.003    0.000 parser.py:455(check_for_whole_start_tag)
      961    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
      961    0.001    0.000    0.001    0.000 element.py:2007(is_empty_element)
      961    0.001    0.000    0.013    0.000 __init__.py:1056(handle_endtag)
      941    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      935    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      894    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      886    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      884    0.003    0.000    0.019    0.000 parser.py:465(parse_endtag)
      884    0.000    0.000    0.000    0.000 parser.py:182(clear_cdata_mode)
      848    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      832    0.001    0.000    0.001    0.000 typing.py:1427(<genexpr>)
      779    0.001    0.000    0.001    0.000 _parser.py:448(_uniq)
      764    0.000    0.000    0.000    0.000 _parser.py:82(groups)
      759    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      759    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      738    0.001    0.000    0.001    0.000 _parser.py:371(_escape)
      720    0.001    0.000    0.001    0.000 _compiler.py:401(_simple)
      717    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
      717    0.000    0.000    0.001    0.000 enum.py:1589(_get_value)
  705/699    0.009    0.000    0.068    0.000 {built-in method builtins.__build_class__}
      705    0.001    0.000    0.001    0.000 _compiler.py:214(_compile_charset)
      705    0.005    0.000    0.008    0.000 _compiler.py:241(_optimize_charset)
      688    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      658    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      653    0.000    0.000    0.001    0.000 utils.py:27(is_accentuated)
      651    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      639    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      636    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      631    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      616    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      570    0.000    0.000    0.001    0.000 typing.py:164(_type_convert)
      570    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1501(_path_importer_cache)
      550    0.001    0.000    0.001    0.000 enum.py:829(__setattr__)
  539/332    0.000    0.000    0.001    0.000 typing.py:1443(__hash__)
   538/12    0.003    0.000    0.298    0.025 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      519    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
      508    0.002    0.000    0.004    0.000 typing.py:173(_type_check)
  500/499    0.000    0.000    0.004    0.000 {built-in method builtins.next}
      490    0.002    0.000    0.003    0.000 css_types.py:37(__init__)
      488    0.004    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1625(find_spec)
      488    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      477    0.000    0.000    0.000    0.000 css_types.py:69(__hash__)
      475    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
      475    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
      464    0.000    0.000    0.001    0.000 typing.py:1358(__getattr__)
      454    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
      447    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      443    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      442    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
